SampleID	Pool representation	BarcodeSequence	LinkerPrimerSequence	bodysite	Subject	BCS	Nasal_exsudate	Respiratory_rate	Coughing	Auscultation	Description
q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical	categorical
P2A22	Underrepresented	P2A22.SNP	farm2.SNP.P2A22	SNP	farm2	2	1	1	0	.	SNP
P2A26	Underrepresented	P2A26.feces	farm2.feces.P2A26	feces	farm2	3	1	1	0	0	feces
P2A26	Underrepresented	P2A26.rumen	farm2.rumen.P2A26	rumen	farm2	2	1	1	0	.	rumen
P2A26	Underrepresented	P2A26.SNP	farm2.SNP.P2A26	SNP	farm2	3	1	1	0	0	SNP
P2A27	Underrepresented	P2A27.feces	farm2.feces.P2A27	feces	farm2	3	1	.	0	0	feces
P2A27	Underrepresented	P2A27.rumen	farm2.rumen.P2A27	rumen	farm2	3	1	1	0	0	rumen
P2A27	Underrepresented	P2A27.SNP	farm2.SNP.P2A27	SNP	farm2	3	1	.	0	0	SNP
P2A28	Underrepresented	P2A28.feces	farm2.feces.P2A28	feces	farm2	3	1	1	0	0	feces
P2A28	Underrepresented	P2A28.rumen	farm2.rumen.P2A28	rumen	farm2	3	1	.	0	0	rumen
P2A28	Underrepresented	P2A28.SNP	farm2.SNP.P2A28	SNP	farm2	3	1	1	0	0	SNP
P2A29	Underrepresented	P2A29.feces	farm2.feces.P2A29	feces	farm2	3	1	0	0	0	feces
P2A29	Underrepresented	P2A29.rumen	farm2.rumen.P2A29	rumen	farm2	3	1	1	0	0	rumen
P2A29	Underrepresented	P2A29.SNP	farm2.SNP.P2A29	SNP	farm2	3	1	0	0	0	SNP
P2A7	Underrepresented	P2A7.feces	farm2.feces.P2A7	feces	farm2	2	0	1	0	0	feces
P2A7	Underrepresented	P2A7.SNP	farm2.SNP.P2A7	SNP	farm2	2	0	1	0	0	SNP
P2A9	Underrepresented	P2A9.feces	farm2.feces.P2A9	feces	farm2	3	0	0	0	0	feces
P2A9	Underrepresented	P2A9.SNP	farm2.SNP.P2A9	SNP	farm2	3	0	0	0	0	SNP
